# MIST version number  = 1.0
# MESA revision number =     7503
# photometric system   = HST/ACS/WFC (Vega)
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit
# 0.2577  5.81867E-03    -0.40     0.00     0.40
# --------------------------------------------------------------------------------------
#     initial_mass   N_pts   N_EEP   N_col   phase        type
# 1.5000000000E+00    1710      10      19     YES    low-mass
# EEPs:        1     202     353     454     605     631     707     808    1409    1710
# --------------------------------------------------------------------------------------
# CCM89 extinction: Av =  0.010
# --------------------------------------------------------------------------------------
#                              1                               2                               3                               4                               5                   6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19
#                       star_age                        log_Teff                           log_g                           log_L                          Z_surf       ACS_WFC_F435W       ACS_WFC_F475W       ACS_WFC_F502N       ACS_WFC_F550M       ACS_WFC_F555W       ACS_WFC_F606W       ACS_WFC_F625W       ACS_WFC_F658N       ACS_WFC_F660N       ACS_WFC_F775W       ACS_WFC_F814W      ACS_WFC_F850LP       ACS_WFC_F892N               phase
         1.3019174062823709E+007         3.9208518675594650E+000         4.4060157882776529E+000         8.4627327461126622E-001         5.6786271743476391E-003            2.799926            2.746981            2.700511            2.638872            2.667650            2.628740            2.589769            2.588758            2.574986            2.516186            2.514584            2.507787            2.531218            0.000000
         1.3142061949274223E+007         3.9208605460231301E+000         4.4075410779636019E+000         8.4478268966715919E-001         5.6785484775900841E-003            2.803822            2.750832            2.704331            2.642652            2.671448            2.632521            2.593531            2.592558            2.578780            2.519921            2.518332            2.511568            2.535036            0.000000
         1.3535767270918690E+007         3.9207119237431121E+000         4.4100187505068584E+000         8.4171049819326615E-001         5.6785782799124718E-003            2.812032            2.758825            2.712148            2.650202            2.679102            2.639997            2.600841            2.599735            2.585983            2.526923            2.525329            2.518550            2.542094            0.000000
         1.4008833665272590E+007         3.9205368068748490E+000         4.4118105322469905E+000         8.3921821350663650E-001         5.6784753687679768E-003            2.818755            2.765330            2.718473            2.656251            2.685259            2.645961            2.606627            2.605343            2.591626            2.532377            2.530767            2.523950            2.547555            0.000000
         1.4577257348553922E+007         3.9203881887391310E+000         4.4129230010786902E+000         8.3751122982897486E-001         5.6782723404467106E-003            2.823392            2.769797            2.722796            2.660356            2.689450            2.649994            2.610518            2.609074            2.595388            2.535995            2.534369            2.527511            2.551157            0.000000
         1.4832836933650495E+007         3.9203293637102226E+000         4.4133657464562255E+000         8.3683316620033366E-001         5.6781289167702198E-003            2.825234            2.771572            2.724514            2.661988            2.691115            2.651597            2.612064            2.610556            2.596883            2.537433            2.535801            2.528927            2.552589            0.000000
         1.5265615452967390E+007         3.9202894306294045E+000         4.4134930368349163E+000         8.3654611066063744E-001         5.6779854930937290E-003            2.826031            2.772329            2.725237            2.662658            2.691806            2.652249            2.612679            2.611126            2.597461            2.537980            2.536343            2.529454            2.553123            0.000000
         1.5573103951477244E+007         3.9202593217689277E+000         4.4137068935413186E+000         8.3621179680599123E-001         5.6778201833367348E-003            2.826941            2.773205            2.726084            2.663461            2.692626            2.653037            2.613439            2.611852            2.598195            2.538685            2.537044            2.530146            2.553824            0.000000
         1.6456821676385447E+007         3.9202490237583691E+000         4.4137882940547781E+000         8.3608913925441342E-001         5.6774411350488663E-003            2.827276            2.773528            2.726397            2.663758            2.692930            2.653330            2.613721            2.612123            2.598468            2.538948            2.537306            2.530405            2.554086            0.000000
         1.6463725721111292E+007         3.9202492042876775E+000         4.4137881465126920E+000         8.3609000840616199E-001         5.6774383410811424E-003            2.827273            2.773525            2.726395            2.663756            2.692928            2.653328            2.613720            2.612122            2.598466            2.538946            2.537305            2.530404            2.554085            0.000000
         1.7526948608891472E+007         3.9202777331064933E+000         4.4137633820612301E+000         8.3622880996499627E-001         5.6769838556647301E-003            2.826880            2.773158            2.726050            2.663448            2.692605            2.653033            2.613449            2.611885            2.598223            2.538723            2.537085            2.530196            2.553874            0.000000
         1.7535233462562487E+007         3.9202780224721945E+000         4.4137630007137085E+000         8.3623034816605024E-001         5.6769810616970062E-003            2.826875            2.773154            2.726046            2.663444            2.692601            2.653029            2.613446            2.611882            2.598220            2.538720            2.537082            2.530193            2.553871            0.000000
         1.8814414869367108E+007         3.9203226565525271E+000         4.4137042059704417E+000         8.3646758515403985E-001         5.6765098124742508E-003            2.826206            2.772526            2.725455            2.662910            2.692044            2.652515            2.612970            2.611459            2.597787            2.538318            2.536687            2.529816            2.553488            0.000000
         1.8824356693772323E+007         3.9203230001260421E+000         4.4137037554629153E+000         8.3646940922407653E-001         5.6765098124742508E-003            2.826200            2.772521            2.725450            2.662905            2.692039            2.652511            2.612966            2.611455            2.597783            2.538314            2.536684            2.529812            2.553484            0.000000
         1.8834298518177543E+007         3.9203233436995566E+000         4.4137033049553871E+000         8.3647123329411333E-001         5.6765126064419746E-003            2.826195            2.772516            2.725446            2.662901            2.692035            2.652507            2.612962            2.611453            2.597780            2.538312            2.536681            2.529810            2.553482            0.000000
         2.0375281300986223E+007         3.9203755182222784E+000         4.4136317354889325E+000         8.3675138745205213E-001         5.6766886264085770E-003            2.825403            2.771772            2.724744            2.662266            2.691375            2.651896            2.612397            2.610949            2.597265            2.537833            2.536211            2.529360            2.553025            0.000000
         2.0387211490272485E+007         3.9203758585523572E+000         4.4136310788265849E+000         8.3675340455624569E-001         5.6766886264085770E-003            2.825397            2.771767            2.724739            2.662261            2.691370            2.651891            2.612392            2.610945            2.597260            2.537829            2.536207            2.529356            2.553021            0.000000
         2.0399141679558739E+007         3.9203761988824359E+000         4.4136304221642382E+000         8.3675542166043915E-001         5.6766858324408531E-003            2.825391            2.771762            2.724734            2.662257            2.691365            2.651888            2.612389            2.610942            2.597257            2.537826            2.536204            2.529354            2.553019            0.000000
         2.2255479132500909E+007         3.9204282504654047E+000         4.4135274449465793E+000         8.3706646850517474E-001         5.6765885092318058E-003            2.824519            2.770939            2.723955            2.661545            2.690627            2.651200            2.611746            2.610360            2.596664            2.537271            2.535657            2.528826            2.552483            0.000000
         2.2269795359644424E+007         3.9204286086516507E+000         4.4135266124764039E+000         8.3706873266533122E-001         5.6765885092318058E-003            2.824513            2.770933            2.723949            2.661539            2.690621            2.651194            2.611741            2.610355            2.596659            2.537266            2.535652            2.528821            2.552479            0.000000
         2.3201662972761311E+007         3.9204520572606736E+000         4.4134862939508288E+000         8.3720277995879377E-001         5.6768809445202351E-003            2.824134            2.770577            2.723612            2.661232            2.690303            2.650899            2.611466            2.610108            2.596406            2.537031            2.535420            2.528598            2.552253            0.000000
         2.4520306266604647E+007         3.9204833267522017E+000         4.4133922767005886E+000         8.3742177497240911E-001         5.6764422915875912E-003            2.823528            2.770001            2.723063            2.660725            2.689779            2.650406            2.611001            2.609679            2.595971            2.536619            2.535013            2.528202            2.551851            0.000000
         2.4537485739176862E+007         3.9204836809196326E+000         4.4133911124285561E+000         8.3742435464700204E-001         5.6764371693134308E-003            2.823521            2.769995            2.723057            2.660719            2.689773            2.650400            2.610995            2.609674            2.595965            2.536614            2.535007            2.528197            2.551846            0.000000
