# MIST version number  = 1.0
# MESA revision number =     7503
# photometric system   = HST/ACS/WFC (Vega)
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit
# 0.2577  5.81867E-03    -0.40     0.00     0.40
# --------------------------------------------------------------------------------------
#     initial_mass   N_pts   N_EEP   N_col   phase        type
# 2.0000000000E+00    1710      10      19     YES    low-mass
# EEPs:        1     202     353     454     605     631     707     808    1409    1710
# --------------------------------------------------------------------------------------
# CCM89 extinction: Av =  0.010
# --------------------------------------------------------------------------------------
#                              1                               2                               3                               4                               5                   6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19
                       star_age                        log_Teff                           log_g                           log_L                          Z_surf       ACS_WFC_F435W       ACS_WFC_F475W       ACS_WFC_F502N       ACS_WFC_F550M       ACS_WFC_F555W       ACS_WFC_F606W       ACS_WFC_F625W       ACS_WFC_F658N       ACS_WFC_F660N       ACS_WFC_F775W       ACS_WFC_F814W      ACS_WFC_F850LP       ACS_WFC_F892N               phase
         5.8552102348406166E+006         4.0375307957202775E+000         4.4540243455369097E+000         1.3899191819852410E+000         5.6450096890330315E-003            1.685046            1.706021            1.722172            1.734858            1.727878            1.741082            1.754483            1.761685            1.751823            1.785695            1.796354            1.826500            1.835850            0.000000
         5.8554492037228644E+006         4.0374085702626497E+000         4.4537868104663021E+000         1.3896678151808732E+000         5.6452252902090549E-003            1.685157            1.706082            1.722188            1.734847            1.727888            1.741072            1.754448            1.761705            1.751818            1.785607            1.796254            1.826361            1.835716            0.000000
         5.8556881726051122E+006         4.0372863448050236E+000         4.4535492753956936E+000         1.3894164483765055E+000         5.6454432196915150E-003            1.685270            1.706145            1.722207            1.734840            1.727901            1.741064            1.754417            1.761727            1.751815            1.785522            1.796158            1.826225            1.835586            0.000000
         5.8559271414873600E+006         4.0371641193473966E+000         4.4533117403250850E+000         1.3891650815721377E+000         5.6456583552062511E-003            1.685385            1.706209            1.722227            1.734832            1.727915            1.741056            1.754385            1.761750            1.751812            1.785438            1.796062            1.826090            1.835456            0.000000
         5.8920592364832032E+006         4.0191439062047127E+000         4.4181966891379840E+000         1.3521992734725017E+000         5.6779421865940094E-003            1.704401            1.717325            1.726298            1.734674            1.731072            1.740948            1.750541            1.766363            1.752797            1.773363            1.782296            1.806599            1.817133            0.000000
         5.9890344123940039E+006         4.0223302016233049E+000         4.4219645272355050E+000         1.3611765998102734E+000         5.6833326816558838E-003            1.694356            1.708811            1.719156            1.728337            1.724095            1.734592            1.744898            1.759094            1.746174            1.769280            1.778488            1.803752            1.813966            0.000000
         6.1654295098533314E+006         4.0222756686072634E+000         4.4283555837703510E+000         1.3545673797657485E+000         5.6843785569071770E-003            1.710917            1.725179            1.735342            1.744504            1.740327            1.750810            1.761083            1.775700            1.762665            1.785400            1.794669            1.820055            1.830472            0.000000
         6.3277403173581129E+006         4.0217994316799510E+000         4.4325374146268377E+000         1.3484805729159575E+000         5.6846416555345058E-003            1.724457            1.738369            1.748210            1.757249            1.753208            1.763596            1.773749            1.788901            1.775691            1.797807            1.807082            1.832427            1.843038            0.000000
         6.4848987241225578E+006         4.0213673822396245E+000         4.4349758591416872E+000         1.3443139040120076E+000         5.6847501546144485E-003            1.733302            1.746930            1.756512            1.765441            1.761512            1.771813            1.781861            1.797415            1.784070            1.805690            1.814958            1.840238            1.850983            0.000000
         6.7883770941514745E+006         4.0208996169632965E+000         4.4373951961370306E+000         1.3400234547379020E+000         5.6848069652915001E-003            1.742324            1.755650            1.764955            1.773763            1.769953            1.780161            1.790095            1.806069            1.792584            1.813677            1.822935            1.848139            1.859024            0.000000
         6.9879837003254350E+006         4.0207666536903250E+000         4.4381067505997862E+000         1.3387800138187660E+000         5.6847962550818920E-003            1.744950            1.758189            1.767415            1.776188            1.772413            1.782594            1.792495            1.808590            1.795064            1.816006            1.825261            1.850444            1.861370            0.000000
