# HB Z M OV QHEL tau_He tau_H fname
0 0.0005 0.100 0.00 0.000 0 2.983e+10 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.10.PMS
0 0.0005 0.120 0.00 0.000 0 2.979e+10 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.12.PMS
0 0.0005 0.140 0.00 0.000 0 3.003e+10 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.14.PMS
0 0.0005 0.160 0.00 0.000 0 2.996e+10 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.16.PMS
0 0.0005 0.200 0.00 0.000 0 2.97e+10 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.20.PMS
0 0.0005 0.250 0.00 0.000 0 2.991e+10 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.25.PMS
0 0.0005 0.300 0.00 0.000 0 2.982e+10 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.30.PMS
0 0.0005 0.350 0.00 0.000 0 3.011e+10 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.35.PMS
0 0.0005 0.450 0.00 0.000 0 3.01e+10 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.45.PMS
1 0.0005 0.495 0.30 0.998 1.19e+08 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.495.PMS.HB
0 0.0005 0.500 0.00 0.000 0 3.009e+10 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.50.PMS
1 0.0005 0.500 0.30 0.988 1.173e+08 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.500.PMS.HB
1 0.0005 0.505 0.30 0.978 1.142e+08 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.505.PMS.HB
1 0.0005 0.510 0.30 0.969 1.125e+08 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.510.PMS.HB
1 0.0005 0.515 0.30 0.959 1.089e+08 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.515.PMS.HB
1 0.0005 0.520 0.30 0.950 1.058e+08 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.520.PMS.HB
1 0.0005 0.525 0.30 0.941 1.032e+08 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.525.PMS.HB
1 0.0005 0.530 0.30 0.932 1.004e+08 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.530.PMS.HB
1 0.0005 0.540 0.30 0.915 9.768e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.540.PMS.HB
0 0.0005 0.550 0.00 0.000 0 3.011e+10 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.55.PMS
1 0.0005 0.550 0.30 0.898 1.052e+08 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.550.PMS.HB
1 0.0005 0.560 0.30 0.882 1.038e+08 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.560.PMS.HB
1 0.0005 0.570 0.30 0.867 1.024e+08 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.570.PMS.HB
1 0.0005 0.580 0.30 0.852 8.589e+07 0 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M.580.PMS.HB
